step,true_distance_cm,observed_distance_cm,estimated_distance_cm,target_distance_cm,control_error_cm,predicted_next_distance_cm,prediction_error_cm,action_value,servo_angle,led_intensity,reason,disturbance
138,45.48572261788469,46.06360677602205,38.32995215639819,30.0,8.329952156398193,38.269400440177655,11.79553938618136,2.5986543905765114,100,66,distance_too_large_reduce_distance,0.29334429876303336
139,48.81828723533146,48.63543693987025,41.93687183061341,30.0,11.936871830613413,41.72897947936729,10.366036499692598,4.169995435362627,106,95,distance_too_large_reduce_distance,0.6988558120921252
140,51.63496528788308,52.08398173683089,45.48836029778953,30.0,15.488360297789526,45.15476066296052,10.355002257463603,5.881751130494835,113,123,distance_too_large_reduce_distance,1.0198518631025653
141,53.791187951398825,53.820719023850806,48.404685851910976,30.0,18.404685851910976,47.93414576147139,8.665958360890286,7.242942310132481,118,147,distance_too_large_reduce_distance,0.14504330164659873
142,55.19972272655731,54.51606463009435,50.543668424275154,30.0,20.543668424275154,49.96423303946455,6.581918868622957,8.278454560902965,123,164,distance_too_large_reduce_distance,-0.34633834201115243
143,55.81007289266967,54.68540031916961,51.993274587488216,30.0,21.993274587488216,51.33099822261598,4.721167279705057,9.065525458251528,126,175,distance_too_large_reduce_distance,-0.7462161982559582
144,55.65714146108506,56.36909701444108,53.52481243692172,30.0,23.52481243692172,52.7995704002616,5.0380987918250995,10.079668512535923,130,188,distance_too_large_reduce_distance,0.09369901182034253
145,54.69431527954057,56.04601076964288,54.40723185337413,30.0,24.407231853374128,53.600858372371256,3.2464403693812827,10.673587089990706,132,195,distance_too_large_reduce_distance,-0.28452938335861405
146,52.93773121145179,52.2362743951653,53.64739674300104,30.0,23.64739674300104,52.79350977580178,-1.3645839772059531,10.347871298877411,131,189,distance_too_large_reduce_distance,-0.14537504106288984
147,50.465566630235486,50.68822919872172,52.61168810250328,30.0,22.61168810250328,51.78385839859309,-2.105280577080059,10.191356814778475,130,180,distance_too_large_reduce_distance,-0.21423387967093283
148,47.348681184009756,46.30612080811478,50.40473954946731,30.0,20.40473954946731,49.58943100428503,-5.477737590478313,9.312836734986972,127,163,distance_too_large_reduce_distance,-0.04927681024573484
